Disease,Symptoms,Herbal/Ayurvedic Remedy,
Nausea,"Stomach Upset, Vomiting","Aloe Vera, Peppermint",
Neck Pain,"Pain, Stiffness","Turmeric, Ginger",
Nephrotic Syndrome,"Fatigue, Nausea","Senna, Nilavembu",
Nerve Damage,"Numbness, Tingling","Turmeric, Ginger",
Neurological Disorders,"Fatigue, Muscle Weakness","Ashwagandha, Brahmi",
Obesity,"Weight Gain, Fatigue","Senna, Nilavembu",
Osteoarthritis,"Joint Pain, Stiffness","Turmeric, Ginger",
Osteoporosis,"Weak Bones, Fractures","Calcarea carbonica, Silicea",
Ovarian Cancer,"Pain, Fatigue","Senna, Shatavari",
Overactive Thyroid,"Fatigue, Weight Loss","Ashwagandha, Brahmi",
Panic Attacks,"Panic, Fear","Aconite, Gelsemium",
Parkinson's Disease,"Trem ors, Fatigue","Senna, Shatavari",
Peptic Ulcer,"Pain, Nausea","Aloe Vera, Saffron",
Peripheral Neuropathy,"Numbness, Tingling","Turmeric, Ginger",
Pneumonia,"Cough, Sore Throat","Echinacea, Belladonna",
Polycystic Kidney Disease,"Fatigue, Nausea","Senna, Nilavembu",
Polycystic Ovary Syndrome,"Hormonal Imbalance, Fatigue","Senna, Shatavari",
Post-Traumatic Stress Disorder,"Anxiety, Fatigue","Ashwagandha, Brahmi",
Premature Ejaculation,"Erectile Dysfunction, Fatigue","Ashwagandha, Brahmi",
Prostate Cancer,"Pain, Fatigue","Senna, Shatavari",
Prostatitis,"Pain, Urinary Issues","Senna, Nilavembu",
Psoriasis,"Redness, Itching","Aloe Vera, Arnica",
Rheumatoid Arthritis,"Joint Pain, Stiffness","Turmeric, Ginger",
Rosacea,"Redness, Inflammation","Neem, Tulsi",
Sciatica,"Pain, Numbness","Turmeric, Ginger",
Scleroderma,"Fatigue, Skin Thickening","Ashwagandha, Brahmi",
Seborrheic Dermatitis,"Itching, Flaking","Neem, Tulsi",
Seizures,"Convulsions, Fatigue","Senna, Shatavari",
Sinus Infections,"Congestion, Headaches","Senna, Vettiver",
Skin Cancer,"Pain, Fatigue","Senna, Shatavari",
Skin Conditions,"Redness, Itching","Neem, Tulsi",
Sleep Apnea,"Fatigue, Snoring","Senna, Nilavembu",
Sleep Disorders,"Insomnia, Fatigue","Aconite, Gelsemium",
Smallpox,"Fever, Rash","Echinacea, Belladonna",
Smoking Addiction,"Nicotine Withdrawal, Fatigue","Ashwagandha, Brahmi",
Sore Throat,"Pain, Hoarseness","Echinacea, Belladonna",
Spinal Cord Injury,"Fatigue, Muscle Weakness","Ashwagandha, Brahmi",
Sprains and Strains,"Pain, Swelling","Turmeric, Ginger",
Stomach Ulcers,"Pain, Nausea","Aloe Vera, Saffron",
Stress,"Anxiety, Fatigue","Ashwagandha, Brahmi",
Stroke,"Fatigue, Weakness","Senna, Nilavembu",
Sunburn,"Redness, Blistering","Aloe Vera, Arnica",
Tendinitis,"Pain, Swelling","Turmeric, Ginger",
Thyroid Problems,"Fatigue, Weight Gain","Ashwagandha, Brahmi",
Tinnitus,"Ringing, Decreased Hearing","Senna, Shatavari",
Tonsillitis,"Sore Throat, Fever","Senna, Vettiver",
Tooth Decay,"Toothache, Gum Disease","Aloe Vera, Peppermint",
Trigeminal Neuralgia,"Pain, Numbness","Turmeric, Ginger",
Tuberculosis,"Cough, Sore Throat","Echinacea, Belladonna",
Ulcerative Colitis,"Diarrhea, Abdominal Pain","Aloe Vera, Saffron",
Urinary Incontinence,"Urinary Issues, Fatigue","Senna, Nilavembu",
Urinary Tract Infections,"Burning, Frequent Urination","Senna, Nilavembu",
Uterine Cancer,"Pain, Fatigue","Senna, Shatavari",
Vaginal Infections,"Itching, Burning","Senna, Vettiver",
Varicose Veins,"Pain, Swelling","Turmeric, Ginger",
Viral Infections,"Fever, Fatigue","Echinacea, Belladonna",
Vitiligo,"Skin Discoloration, Fatigue","Ashwagandha, Brahmi",
Warts,"Pain, Swelling","Aloe Vera, Saffron",
Weight Gain,"Fatigue, Slowed Metabolism","Senna, Nilavembu",
Weight Loss,"Slowed Metabolism, Fatigue","Senna, Nilavembu",
Wound Infections,"Redness, Swelling","Neem, Tulsi",
Yeast Infections,"Itching, Burning","Senna, Vettiver",
